"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY","Year"
"Redskins",442,291,65.8,8.3,3666,24,8,102.1,171,38.7,53,8,"88T",33,244,2012
"Saints",671,423,63,7.7,5187,43,19,96.4,267,39.8,66,13,"80T",26,190,2012
"Seahawks",405,259,64,8,3234,27,10,100.6,153,37.8,45,11,"67",33,203,2012
"Steelers",574,354,61.7,7,4012,27,14,88.1,202,35.2,49,7,"82T",37,225,2012
"Texans",554,354,63.9,7.3,4046,22,13,89.2,205,37,46,8,"60T",28,216,2012
"Titans",540,318,58.9,6.6,3577,17,16,76.9,166,30.7,42,7,"71T",39,254,2012
"Vikings",483,300,62.1,6.1,2935,18,12,81.2,163,33.7,28,3,"65",32,184,2012
"49ers",417,244,58.5,7.7,3210,21,8,91.7,148,35.5,46,10,"64T",39,231,2013
"Bears",579,373,64.4,7.7,4450,32,13,96.9,215,37.1,53,11,"80T",30,169,2013
"Bengals",587,364,62,7.4,4318,33,20,89,205,34.9,57,15,"82T",29,182,2013
"Bills",522,299,57.3,6.5,3373,16,15,75,149,28.5,46,9,"59T",48,270,2013
"Broncos",675,461,68.3,8.3,5572,55,10,114.4,293,43.4,68,13,"78T",20,128,2013
"Browns",681,379,55.7,6.4,4372,26,20,75.7,200,29.4,52,14,"95T",49,325,2013
"Buccaneers",514,291,56.6,6.2,3181,22,12,79.6,157,30.5,39,7,"85T",47,361,2013
